arg	V(vout)
0.000000000000000e+00	3.442412e+00
1.200000000000000e-01	3.399328e+00
2.400000000000000e-01	3.356672e+00
3.600000000000000e-01	3.315066e+00
4.800000000000000e-01	3.275129e+00
6.000000000000000e-01	3.237461e+00
7.200000000000000e-01	3.202635e+00
8.400000000000000e-01	3.171185e+00
9.600000000000000e-01	3.143601e+00
1.080000000000000e+00	3.120316e+00
1.200000000000000e+00	3.101695e+00
1.320000000000000e+00	3.088036e+00
1.440000000000000e+00	3.079556e+00
1.560000000000000e+00	3.076390e+00
1.680000000000001e+00	3.078591e+00
1.800000000000001e+00	3.086123e+00
1.920000000000001e+00	3.098864e+00
2.040000000000001e+00	3.116611e+00
2.160000000000001e+00	3.139083e+00
2.280000000000001e+00	3.165923e+00
2.400000000000001e+00	3.196712e+00
2.520000000000001e+00	3.230968e+00
2.640000000000001e+00	3.268167e+00
2.760000000000002e+00	3.307739e+00
2.880000000000002e+00	3.349090e+00
3.000000000000002e+00	3.391603e+00
3.120000000000002e+00	3.434656e+00
3.240000000000002e+00	3.477624e+00
3.360000000000002e+00	3.519894e+00
3.480000000000002e+00	3.560869e+00
3.600000000000002e+00	3.599980e+00
3.720000000000002e+00	3.636690e+00
3.840000000000003e+00	3.670501e+00
3.960000000000003e+00	3.700960e+00
4.080000000000003e+00	3.727663e+00
4.200000000000003e+00	3.750259e+00
4.320000000000003e+00	3.768455e+00
4.440000000000003e+00	3.782014e+00
4.560000000000003e+00	3.790764e+00
4.680000000000003e+00	3.794590e+00
4.800000000000003e+00	3.793445e+00
4.920000000000003e+00	3.787344e+00
5.040000000000004e+00	3.776363e+00
5.160000000000004e+00	3.760644e+00
5.280000000000004e+00	3.740391e+00
5.400000000000004e+00	3.715864e+00
5.520000000000004e+00	3.687386e+00
5.640000000000004e+00	3.655332e+00
5.760000000000000e+00	3.620128e+00
